seed,num_clusters,num_points,init_type,ImprClass,iteration_order,init_cost,end_cost,num_iter,num_iter_tot,time,num_clusters,num_points,init_type,ImprClass,iteration_order,init_cost,end_cost,num_iter,num_iter_tot,time,num_clusters,num_points,init_type,ImprClass,iteration_order,init_cost,end_cost,num_iter,num_iter_tot,time
24587062,16,20,0,1,2,10176.4,518.424,29,3012,706
seed,16,20,0,1,2,10176.4,518.424,29,3012,378
seed,16,20,0,1,2,10176.4,518.424,29,3012,334
24587078,16,20,1,1,2,15347.9,14850.7,4,697,399
seed,16,20,1,1,2,15347.9,14850.7,4,697,466
seed,16,20,1,1,2,15347.9,14850.7,4,697,423
24587093,2,30,0,0,0,52690.7,52690.7,0,30,5
seed,2,30,0,0,0,52690.7,52690.7,0,30,3
seed,2,30,0,0,0,52690.7,52690.7,0,30,2
24587109,2,30,1,0,0,54332.8,50985.4,6,210,57
seed,2,30,1,0,0,54332.8,50985.4,6,210,53
seed,2,30,1,0,0,54332.8,50985.4,6,210,49
24587109,2,30,0,1,0,54332.8,54332.8,0,30,5
seed,2,30,0,1,0,54332.8,54332.8,0,30,2
seed,2,30,0,1,0,54332.8,54332.8,0,30,2
24587125,2,30,1,1,0,59153.8,53119.1,5,90,38
seed,2,30,1,1,0,59153.8,53119.1,5,90,28
seed,2,30,1,1,0,59153.8,53119.1,5,90,29
24587140,2,30,0,1,1,48899.9,48899.9,0,30,4
seed,2,30,0,1,1,48899.9,48899.9,0,30,2
seed,2,30,0,1,1,48899.9,48899.9,0,30,3
24587140,2,30,1,1,1,48899.9,45120.5,8,156,49
seed,2,30,1,1,1,52713.8,43928.1,6,113,40
seed,2,30,1,1,1,52713.8,43928.1,6,113,40
24587156,2,30,0,1,2,52713.8,52713.8,0,30,16
seed,2,30,0,1,2,52713.8,52713.8,0,30,10
seed,2,30,0,1,2,52713.8,52713.8,0,30,10
24587171,2,30,1,1,2,50752.9,45670.1,4,71,84
seed,2,30,1,1,2,50752.9,45670.1,4,71,67
seed,2,30,1,1,2,50752.9,45670.1,4,71,47
24587187,4,30,0,0,0,54425.3,15767.7,19,1800,80
seed,4,30,0,0,0,54425.3,15767.7,19,1800,83
seed,4,30,0,0,0,54425.3,15767.7,19,1800,88
24587187,4,30,1,0,0,54425.3,48528.1,9,900,92
seed,4,30,1,0,0,54425.3,48528.1,9,900,90
seed,4,30,1,0,0,54425.3,48528.1,9,900,92
24587203,4,30,0,1,0,41072.9,17234.5,51,1678,149
seed,4,30,0,1,0,41072.9,17234.5,51,1678,476
seed,4,30,0,1,0,41072.9,17234.5,51,1678,129
24587218,4,30,1,1,0,43014.5,42793.4,2,173,55
seed,4,30,1,1,0,43014.5,42793.4,2,173,57
seed,4,30,1,1,0,43014.5,42793.4,2,173,57
24587234,4,30,0,1,1,45050.3,15259.1,38,1289,110
seed,4,30,0,1,1,45050.3,15259.1,38,1289,69
seed,4,30,0,1,1,45050.3,15259.1,38,1289,63
24587234,4,30,1,1,1,45050.3,44584.7,1,141,65
seed,4,30,1,1,1,45050.3,44584.7,1,141,54
seed,4,30,1,1,1,43121,41797.1,1,101,54
24587250,4,30,0,1,2,43121,17818.2,37,1601,369
